affiliation,addr,name,latitude,longitude,id,country,continent
"Theoretical Division, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Theoretical Division, Los Alamos National Laboratory",35.81831485,-106.265427979899,1,United States of America,North America
"Department of Mathematics, University of California Davis, Davis, California 95616, USA","University of California Davis, Davis, California 95616, USA","Department of Mathematics, University of California Davis",38.5217429,-121.752249350739,2,United States of America,North America
"Dipartimento di Fisica e Astronomia, Università di Firenze, Sesto Fiorentino (FI), 50019 , Italy","Università di Firenze, Sesto Fiorentino (FI), 50019 , Italy","Dipartimento di Fisica e Astronomia, Università di Firenze",43.8204263,11.1941665,3,Italy,Europe
"Harvard Quantum Initiative, Harvard University, Cambridge, Massachusetts 02138, USA","Harvard University, Cambridge, Massachusetts 02138, USA","Harvard Quantum Initiative, Harvard University",42.36530955,-71.1154431036783,4,United States of America,North America
"Information Sciences, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Information Sciences, Los Alamos National Laboratory",35.81831485,-106.265427979899,5,United States of America,North America
"Department of Electrical and Computer Engineering,","Department of Electrical and Computer Engineering,","Department of Electrical and Computer Engineering,",36.1530383,-95.9428658,6,United States of America,North America
"University of Illinois at Urbana-Champaign, Urbana, Illinois 61801, USA","Urbana, Illinois 61801, USA","University of Illinois at Urbana-Champaign, Urbana",40.1117174,-88.207301,7,United States of America,North America
"Center for Nonlinear Studies, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Center for Nonlinear Studies, Los Alamos National Laboratory",35.81831485,-106.265427979899,8,United States of America,North America
"Department of Physics, University of Waterloo, Waterloo, ON, N2L 3G1, Canada","University of Waterloo, Waterloo, ON, N2L 3G1, Canada","Department of Physics, University of Waterloo",43.4701994,-80.5452429377945,9,Canada,North America
"Institute for Quantum Computing, Waterloo, ON, N2L 3G1, Canada","Waterloo, ON, N2L 3G1, Canada","Institute for Quantum Computing, Waterloo",43.4652699,-80.5222961,10,Canada,North America
"Xanadu, Toronto, ON, M5G 2C8, Canada","Toronto, ON, M5G 2C8, Canada","Xanadu, Toronto",43.6534817,-79.3839347,11,Canada,North America
"Centre for Quantum Technologies, National University of Singapore, 3 Science Drive 2 117543, Singapore.","National University of Singapore, 3 Science Drive 2 117543, Singapore.","Centre for Quantum Technologies, National University of Singapore",,,12,,
"Imperial College London, London, UK.","Imperial College London, London, UK.","Imperial College London, London",51.4989595,-0.175641259787945,13,United Kingdom,Europe
"Information Sciences, Los Alamos National Laboratory, Los Alamos, NM, USA.","Los Alamos National Laboratory, Los Alamos, NM, USA.","Information Sciences, Los Alamos National Laboratory",35.81831485,-106.265427979899,14,United States of America,North America
"Quantum Science Center, Oak Ridge, TN 37931, USA","Oak Ridge, TN 37931, USA","Quantum Science Center, Oak Ridge",36.0103562,-84.2696449,15,United States of America,North America
"Institute of Physics, Ecole Polytechnique Fédérale de Lausanne (EPFL), CH-1015 Lausanne, Switzerland","Ecole Polytechnique Fédérale de Lausanne (EPFL), CH-1015 Lausanne, Switzerland","Institute of Physics, Ecole Polytechnique Fédérale de Lausanne (EPFL)",,,16,,
"Information Sciences, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Information Sciences, Los Alamos National Laboratory",35.81831485,-106.265427979899,17,United States of America,North America
"Electrical and Computer Engineering, University of Illinois Urbana-Champaign, Urbana, Illinois, 61801, USA†","University of Illinois Urbana-Champaign, Urbana, Illinois, 61801, USA†","Electrical and Computer Engineering, University of Illinois Urbana-Champaign",,,18,,
"Theoretical Division, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Theoretical Division, Los Alamos National Laboratory",35.81831485,-106.265427979899,19,United States of America,North America
"Center for Nonlinear Studies, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Center for Nonlinear Studies, Los Alamos National Laboratory",35.81831485,-106.265427979899,20,United States of America,North America
"Harvard Quantum Initiative, Harvard University, Cambridge, Massachusetts 02138, USA","Harvard University, Cambridge, Massachusetts 02138, USA","Harvard Quantum Initiative, Harvard University",42.36530955,-71.1154431036783,21,United States of America,North America
"Department of Computing and Mathematical Sciences, Caltech, Pasadena, CA, USA","Caltech, Pasadena, CA, USA","Department of Computing and Mathematical Sciences, Caltech",34.13701375,-118.125288248796,22,United States of America,North America
"Department of Electrical Engineering and Computer Sciences, UC Berkeley, Berkeley, CA, USA","UC Berkeley, Berkeley, CA, USA","Department of Electrical Engineering and Computer Sciences, UC Berkeley",37.8753497,-122.239633649188,23,United States of America,North America
"AWS Center for Quantum Computing, Pasadena, CA, USA","Pasadena, CA, USA","AWS Center for Quantum Computing, Pasadena",34.1476452,-118.1444779,24,United States of America,North America
"Department of Physics & Astronomy, University of Southern California, Los Angeles, California 90089, USA","University of Southern California, Los Angeles, California 90089, USA","Department of Physics & Astronomy, University of Southern California",34.0218833,-118.28586662125,25,United States of America,North America
"Information Sciences, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Information Sciences, Los Alamos National Laboratory",35.81831485,-106.265427979899,26,United States of America,North America
"Physics Department, Lancaster University, Lancaster, United Kingdom, LA1 4YB","Lancaster University, Lancaster, United Kingdom, LA1 4YB","Physics Department, Lancaster University",54.0107483,-2.78368004317863,27,United Kingdom,Europe
"Hearne Institute for Theoretical Physics, Department of Physics and Astronomy,","Hearne Institute for Theoretical Physics, Department of Physics and Astronomy,",Hearne Institute for Theoretical Physics,,,28,,
"and Center for Computation and Technology, Louisiana State University, Baton Rouge, Louisiana 70803, USA","Louisiana State University, Baton Rouge, Louisiana 70803, USA","and Center for Computation and Technology, Louisiana State University",30.40576185,-91.1859745026569,29,United States of America,North America
"School of Electrical and Computer Engineering,","School of Electrical and Computer Engineering,","School of Electrical and Computer Engineering,",40.7935818,-77.8687284,30,United States of America,North America
"Cornell University, Ithaca, New York 14850, USA","Ithaca, New York 14850, USA","Cornell University, Ithaca",42.4396039,-76.4968019,31,United States of America,North America
"Quantum Science Center, Oak Ridge, TN 37931, USA","Oak Ridge, TN 37931, USA","Quantum Science Center, Oak Ridge",36.0103562,-84.2696449,32,United States of America,North America
"Theoretical Division, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Theoretical Division, Los Alamos National Laboratory",35.81831485,-106.265427979899,33,United States of America,North America
"Institute of Physics, Ecole Polytechnique Fédérale de Lausanne (EPFL), CH-1015 Lausanne, Switzerland","Ecole Polytechnique Fédérale de Lausanne (EPFL), CH-1015 Lausanne, Switzerland","Institute of Physics, Ecole Polytechnique Fédérale de Lausanne (EPFL)",,,34,,
